X	Y
1527356.951	4198314.267
1922560.488	2029466.37
1816760.106	1639626.209
2162873.058	1310158.767
1853513.558	2342109.075
2784419.167	1213901.073
4178832.813	2406238.606
2072767.938	2431566.804
1833290.22	1729349.962
1594909.058	2045081.494
2152297.082	2345139.599
1980220.108	1333198.03
2223940.101	2273077.354
1879086.949	1518936.174
1976138.249	1333100.99
2406146.505	2416812.886
1816270.242	1639295.526
3155501.191	1274447.382
2076315.158	3554956.727
2067156.745	2361775.612
1904628.356	2359449.514
2030876.045	2270404.386
1619003.12	2225271.871
1975606.189	1335591.795
1977051.708	1335685.217
1861140.529	2185591.919
2141642.639	2313163.158
2138477.923	2457781.948
1580105.868	4261704.723
2995543.878	1814581.158
4159375.854	2383131.178
2058076.449	744849.0703
2736317.524	1545303.744
2452945.882	2024618.796
2003822.301	2306543.833
3642140.925	2087589.535
2365832.905	2977947.815
1836209.661	2550867.759
486155.1771	3397032.87
1594571.585	2045455.496
1064320.05	2737474.238
1772136.107	2242044.966
1922313.88	1590889.561
1833472.626	1731309.43
1964195.579	2685006.798
3369956.869	2126736.663
1768440.114	1476247.381
1755524.924	1435046.837
1976658.478	1335719.868
1977504.091	1333980.739
1043956.566	2586876.111
2277170.46	2533161.564
1422655.002	2462431.069
1833121.435	1730613.101
1753365.186	1434939.724
2140854.497	2388014.198
1976795.362	1335525.675
1594818.952	2045306.238
3234264.064	1160724.367
1915386.939	2355948.186
2305757.57	2238094.459
1595998.988	2045727.523
2799927.511	1236700.958
3175266.512	1514057.686
2256844.375	1319543.919
1527356.951	4198314.267
1838397.161	2549182.339
2775037.622	1320128.626
2409659.086	1259384.923
2612072.081	2202462.108
2380536.447	2287120.687
3589982.798	2097046.244
2181175.841	2498930.287
1745148.677	2385191.217
1781874.151	1565780.166
2037251.282	1670481.704
3196732.742	1324251.331
1671584.217	2078003.793
1976193.853	1334105.035
3700877.26	1787558.739
2115960.9	1239434.03
2296711.238	1689592.828
3767937.316	2340272.956
2132937.26	2367163.665
1816223.392	1639255.373
1922754.415	1590246.982
2465134.095	1985615.171
1064710.472	2737522.473
1595210.835	2046457.132
3706208.497	2121605.589
3417847.938	1202578.555
1668943.423	2076722.144
3564787.634	2087471.464
2212949.496	2423727.415
4049265.138	2331379.91
1807692.957	2526243.008
1808916.74	1572426.279
1837989.714	2549277.52
2784342.596	1213872.923
1809436.249	1571860.842
4044237.409	3109313.349
1769272.403	1476115.052
1595710.274	2044741.075
2701737.972	2140720.088
3346708.221	1131750.474
3683071.98	1604432.983
1771842.635	2242293.488
3720588.136	2393461.367
2122968.834	2238688.539
3684550.253	1604414.268
2066588.837	2113006.037
1594959.396	2045367.584
1480815.217	2816826.4
2054408.382	2283884.417
